i,x,y,direction x,direction y,||direction||,alpha,"f(x,y)"
1,0,10,26,14,29.5296461204668,0.00866,60
2,-2.2516,8.7876,26,14,29.5296461204668,0.0866,22.222585919999993
3,0.7254080000000016,3.1876160000000002,-1.3656000000000006,2.5687999999999995,2.9092261514017776,2.18,12.759860185088012
4,0.2054144896000002,2.9038395775999994,6.004544000000017,3.276864000000007,6.840496058213341,0.0866,10.730382433976224
5,0.9258974996480004,1.531884669951999,-0.33049679360000006,0.6293371136000001,0.7108398786887666,2.18,10.152701269152674
6,0.8058254152814596,1.4654313512382453,1.3865136762880006,0.767359338496,1.5846957212382082,0.0866,10.043645432101846
7,0.9802699793481405,1.1293530385851693,-0.08002044223242244,0.15416436360232844,0.17369491120923314,2.18,10.008470024675166
8,0.9525482846667481,1.1137835714560222,0.32011194782208285,0.17978599456290034,0.3671439267908692,0.0866,10.0026081250043
9,0.994802935835125,1.0314661576137216,-0.01938286750842977,0.03776028157903699,0.04244448630596797,2.18,10.000471039894077
10,0.9884037164045135,1.0278164821417377,0.0738939888061374,0.04214405856794379,0.085067286628056,0.0866,10.000155854382697
11,0.9986429745101645,1.0076562129564044,-0.004696907387913285,0.009247829901529059,0.01037223683195912,2.18,10.000026266483184
12,0.9971660464162635,1.0068002305020343,0.017054596927263077,0.009884323953466279,0.019711903418200852,0.0866,10.00000931344905
13,0.9996482245639776,1.0018633007633482,-0.0011386138292266423,0.0022646466691220724,0.0025347713877333896,2.18,10.000001468765767
14,0.9993074147071492,1.0016624320821745,0.0039354486931681976,0.0023194997826063712,0.0045681326226446484,0.0866,10.000000556548326
15,0.999909366334733,1.0004535719575522,-0.00027612459980908,0.0005545229929460049,0.0006194679526218605,2.18,10.00000008236427
16,0.9998307377627581,1.0004064087961526,0.0009079511775400562,0.0005446092540370984,0.0010587608702531555,0.0866,10.000000033257985
17,0.9999767698321782,1.0001104331536765,-6.69871878073991e-05,0.0001357686433376415,0.00015139487390294118,2.18,10.000000004632163
18,0.9999586331130782,1.0000993530615931,0.0002094309364899516,0.00012794563606632892,0.0002454208690137732,0.0866,10.000000001987418
19,0.9999940725508827,1.000026892967005,-1.62566228461003e-05,3.323857549908382e-05,3.700109035648336e-05,2.18,10.000000000261279
20,0.9999898899980478,1.000024288373494,4.829737684630686e-05,3.0076137541357184e-05,5.689649074978889e-05,0.0866,10.000000000118764
21,0.9999984934237369,1.0000065502820832,-3.946525545472923e-06,8.136739179320784e-06,9.043317331232175e-06,2.18,10.000000000014781
22,0.999997529101067,1.0000059376512438,1.113536570329643e-05,7.074259114503434e-06,1.3192479348677613e-05,0.0866,10.000000000007097
23,0.9999996183789609,1.0000015957305177,-9.583843549876292e-07,1.991706755077871e-06,2.210293276944912e-06,2.18,10.00000000000084
24,0.9999993961017295,1.00000145154352,2.5667116787531086e-06,1.664976879034441e-06,3.0594373419906594e-06,0.0866,10.000000000000425
