i,x,Q,c,direction x,direction y,||direction||,alpha,"f(x,y)"
1,[  40 -100],"[[20  5]
 [ 5  2]]",[14 16],286,-16,286.44720281406137,0.01,7050.0
2,[ 37.14 -99.84],"[[20  5]
 [ 5  2]]",[14 16],286,-16,286.44720281406137,0.01,6309.013599999998
3,[ 34.844  -99.5402],"[[20  5]
 [ 5  2]]",[14 16],229.59999999999997,-29.980000000000004,231.5490453446094,0.01,5822.228332039999
4,[ 32.99221  -99.131596],"[[20  5]
 [ 5  2]]",[14 16],185.179,-40.86039999999999,189.6334209182548,0.01,5493.294964012416
5,[ 31.4903478  -98.63857458],"[[20  5]
 [ 5  2]]",[14 16],150.18622,-49.302142,158.07150876636993,0.01,5262.525664801675
6,[ 30.26420697 -98.08032048],"[[20  5]
 [ 5  2]]",[14 16],122.61408309999996,-55.825410160000004,134.72449589434703,0.01,5092.9421371379985
7,[ 29.2553816  -97.47192442],"[[20  5]
 [ 5  2]]",[14 16],100.88253698800003,-60.839606111799995,117.80808096635037,0.01,4961.633302857621
8,[ 28.4179015  -96.82525501],"[[20  5]
 [ 5  2]]",[14 16],83.74800989598998,-64.666940838964,105.80899016155907,0.01,4854.401925552156
9,[ 27.71558395 -96.14964498],"[[20  5]
 [ 5  2]]",[14 16],70.23175495874023,-67.56100251698422,97.4524933784892,0.01,4762.448525319235
10,[ 27.11994941 -95.45243128],"[[20  5]
 [ 5  2]]",[14 16],59.56345409284138,-69.72137021458154,91.69991563828596,0.01,4680.317269231444
11,[ 26.60858109 -94.73938013],"[[20  5]
 [ 5  2]]",[14 16],51.136831785002144,-71.30511551493198,87.74619686120533,0.01,4604.623577261509
12,[ 26.16383388 -94.01502158],"[[20  5]
 [ 5  2]]",[14 16],44.47472120374833,-72.43585479388345,84.99972873998898,0.01,4533.265952311359
13,[ 25.77181818 -93.28291284],"[[20  5]
 [ 5  2]]",[14 16],39.20156970269282,-73.2108737581932,83.04574103223587,0.01,4464.937756960912
14,[ 25.42160019 -92.54584549],"[[20  5]
 [ 5  2]]",[14 16],35.021799450063966,-73.70673476816397,81.60397776398509,0.01,4398.824788562015
15,[ 25.10457243 -91.80600859],"[[20  5]
 [ 5  2]]",[14 16],31.70277629845937,-73.98369004530387,80.49007651723132,0.01,4334.417944861199
