i,x,Q,c,direction x,direction y,||direction||,alpha,"f(x,y)"
16,[ 24.81395837 -91.06511704],"[[20  5]
 [ 5  2]]",[14 16],29.0614055410327,-74.08915505932076,79.58497464612552,0.01,4271.3971810580315
17,[ 24.54442255 -90.32451262],"[[20  5]
 [ 5  2]]",[14 16],26.953582185792214,-74.06044223518597,78.81271913033818,0.01,4209.559627485656
18,[ 24.29176367 -89.58524349],"[[20  5]
 [ 5  2]]",[14 16],25.265887860393093,-73.92691249977186,78.12524227881079,0.01,4148.775062062436
19,[ 24.05267311 -88.84812681],"[[20  5]
 [ 5  2]]",[14 16],23.909055913303092,-73.71166864279607,77.49227734923538,0.01,4088.95832733528
20,[ 23.82454483 -88.11379793],"[[20  5]
 [ 5  2]]",[14 16],22.812828162782267,-73.43288806560531,76.89482543344741,0.01,4030.052243656158
21,[ 23.60532576 -87.38274921],"[[20  5]
 [ 5  2]]",[14 16],21.921906933506094,-73.10487171243231,76.32098185749767,0.01,3972.017024072611
22,[ 23.39339807 -86.65536051],"[[20  5]
 [ 5  2]]",[14 16],21.192769132426506,-72.73886962485896,75.76329334052579,0.01,3914.8237166380586
23,[ 23.18748648 -85.93192321],"[[20  5]
 [ 5  2]]",[14 16],20.591158787184128,-72.3437306889831,75.21709373672414,0.01,3858.450141470329
24,[ 22.98658534 -85.21265907],"[[20  5]
 [ 5  2]]",[14 16],20.0901135641965,-71.92641401456265,74.67945966607276,0.01,3802.878373163576
25,[ 22.78990123 -84.49773515],"[[20  5]
 [ 5  2]]",[14 16],19.668411552085317,-71.49239141248121,74.14855657973135,0.01,3748.093180462398
26,[ 22.59680774 -83.78727551],"[[20  5]
 [ 5  2]]",[14 16],19.309348812292328,-71.04596416183585,73.62322986150254,0.01,3694.081058912072
27,[ 22.40680997 -83.08137039],"[[20  5]
 [ 5  2]]",[14 16],18.999777257925643,-70.59051231921376,73.1027493692259,0.01,3640.8296308321787
28,[ 22.21951649 -82.38008348],"[[20  5]
 [ 5  2]]",[14 16],18.729347422301217,-70.12869093572577,72.58664992423749,0.01,3588.327272835638
29,[ 22.03461737 -81.68345763],"[[20  5]
 [ 5  2]]",[14 16],18.489912484627283,-69.6625844881263,72.0746317455352,0.01,3536.5628843092195
30,[ 21.85186678 -80.99151935],"[[20  5]
 [ 5  2]]",[14 16],18.275059212108204,-69.19382842259512,71.56649831437608,0.01,3485.5257432220187
31,[ 21.67106939 -80.3042823 ],"[[20  5]
 [ 5  2]]",[14 16],18.07973879081635,-68.72370481474861,71.06211760290326,0.01,3435.2054160391276
32,[ 21.49206963 -79.62175013],"[[20  5]
 [ 5  2]]",[14 16],17.89997627339048,-68.25321765799447,70.56139788338601,0.01,3385.591701160877
33,[ 21.31474321 -78.9439186 ],"[[20  5]
 [ 5  2]]",[14 16],17.73264190161204,-67.78315211850412,70.06427263542437,0.01,3336.674593139749
34,[ 21.1389905  -78.27077739],"[[20  5]
 [ 5  2]]",[14 16],17.57527112721482,-67.31412117121465,69.57069112958473,0.01,3288.4442597782318
35,[ 20.96473127 -77.60231137],"[[20  5]
 [ 5  2]]",[14 16],17.425922960332585,-66.8466023041511,69.0806125525012,0.01,3240.8910272159674
36,[ 20.79190058 -76.93850171],"[[20  5]
 [ 5  2]]",[14 16],17.28306848347364,-66.3809664060847,68.59400234138685,0.01,3194.005369975973
37,[ 20.62044555 -76.2793267 ],"[[20  5]
 [ 5  2]]",[14 16],17.145503107083186,-65.91750050213668,68.1108298968981,0.01,3147.777904092736
38,[ 20.45032278 -75.62476244],"[[20  5]
 [ 5  2]]",[14 16],17.012277510773416,-65.4564256474481,67.63106715588235,0.01,3102.1993821592696
39,[ 20.28149634 -74.97478333],"[[20  5]
 [ 5  2]]",[14 16],16.88264329099114,-64.9979110100378,67.15468770055922,0.01,3057.2606895726094
40,[ 20.11393624 -74.32936248],"[[20  5]
 [ 5  2]]",[14 16],16.756010183294777,-64.5420849543866,66.68166620235232,0.01,3012.9528415313057
41,[ 19.94761712 -73.68847205],"[[20  5]
 [ 5  2]]",[14 16],16.631912394355183,-64.0890437644636,66.21197807449069,0.01,2969.26698050823
42,[ 19.7825173  -73.05208346],"[[20  5]
 [ 5  2]]",[14 16],16.509982103707372,-63.63885850889207,65.74559925485144,0.01,2926.19437402719
43,[ 19.61861801 -72.42016766],"[[20  5]
 [ 5  2]]",[14 16],16.3899286084105,-63.191580443899596,65.28250607005393,0.01,2883.726412636948
44,[ 19.45590279 -71.7926952 ],"[[20  5]
 [ 5  2]]",[14 16],16.27152190892329,-62.74724526544215,64.82267515024448,0.01,2841.8546080166498
45,[ 19.29435699 -71.16963644],"[[20  5]
 [ 5  2]]",[14 16],16.15457979041075,-62.30587645557948,64.3660833755067,0.01,2800.570591171611
46,[ 19.13396742 -70.55096156],"[[20  5]
 [ 5  2]]",[14 16],16.038957655107538,-61.867487915988434,63.91270784200359,0.01,2759.866110693948
47,[ 18.97472201 -69.9366407 ],"[[20  5]
 [ 5  2]]",[14 16],15.924540519885483,-61.432086040424046,63.4625258404323,0.01,2719.7330310720836
48,[ 18.81660964 -69.32664399],"[[20  5]
 [ 5  2]]",[14 16],15.811236717929475,-60.999671345609855,63.01551484216262,0.01,2680.1633310391526
49,[ 18.65961991 -68.72094159],"[[20  5]
 [ 5  2]]",[14 16],15.69897294162405,-60.57023975459414,62.571652490172106,0.01,2641.1491019539717
50,[ 18.50374301 -68.11950375],"[[20  5]
 [ 5  2]]",[14 16],15.587690341029031,-60.143783606583455,62.13091659297605,0.01,2602.6825462105585
51,[ 18.3489696  -67.52230083],"[[20  5]
 [ 5  2]]",[14 16],15.477341453152391,-59.72029245150323,61.69328512042897,0.01,2564.7559756735827
52,[ 18.19529072 -66.92930329],"[[20  5]
 [ 5  2]]",[14 16],15.367887785097054,-59.29975367513078,61.25873620069648,0.01,2527.3618101380043
53,[ 18.04269774 -66.34048176],"[[20  5]
 [ 5  2]]",[14 16],15.25929791183421,-58.882152990883014,60.82724811795995,0.01,2490.492575811723
54,[ 17.89118228 -65.75580701],"[[20  5]
 [ 5  2]]",[14 16],15.151545979011516,-58.46747482665707,60.39879931058132,0.01,2454.140903820383
55,[ 17.74073617 -65.17524999],"[[20  5]
 [ 5  2]]",[14 16],15.044610524542009,-58.05570262907452,59.97336836955792,0.01,2418.299528733695
56,[ 17.59135144 -64.5987818 ],"[[20  5]
 [ 5  2]]",[14 16],14.938473551087327,-57.64681910272013,59.55093403716078,0.01,2382.9612871127792
57,[ 17.44302024 -64.02637373],"[[20  5]
 [ 5  2]]",[14 16],14.833119796005874,-57.2408063982201,59.13147520569038,0.01,2348.1191160781
58,[ 17.29573488 -63.45799727],"[[20  5]
 [ 5  2]]",[14 16],14.728536156715649,-56.837646260056,58.71497091630837,0.01,2313.7660518976268
59,[ 17.14948777 -62.89362407],"[[20  5]
 [ 5  2]]",[14 16],14.62471123837534,-56.43732014269066,58.301400357919526,0.01,2279.8952285949003
60,[ 17.00427142 -62.33322598],"[[20  5]
 [ 5  2]]",[14 16],14.52163499783478,-56.039809301755625,57.890742866087635,0.01,2246.4998765766795
61,[ 16.86007843 -61.77677503],"[[20  5]
 [ 5  2]]",[14 16],14.419298463355545,-55.64509486561226,57.48297792197543,0.01,2213.5733212798878
62,[ 16.7169015  -61.22424345],"[[20  5]
 [ 5  2]]",[14 16],14.317693513965082,-55.253157891467794,57.078085151302226,0.01,2181.108981837568
63,[ 16.57473337 -60.67560365],"[[20  5]
 [ 5  2]]",[14 16],14.21681270574544,-54.86397940933669,56.67604432331499,0.01,2149.10036976358
64,[ 16.43356688 -60.13082825],"[[20  5]
 [ 5  2]]",[14 16],14.116649135063156,-54.47754045643724,56.27683534977101,0.01,2117.541087655766
65,[ 16.29339492 -59.58989003],"[[20  5]
 [ 5  2]]",[14 16],14.01719633087238,-54.09382210406166,55.88043828392984,0.01,2086.424827917326
66,[ 16.15421043 -59.05276197],"[[20  5]
 [ 5  2]]",[14 16],13.918448169900998,-53.71280547852403,55.48683331955412,0.01,2055.7453714961453
67,[ 16.01600645 -58.51941726],"[[20  5]
 [ 5  2]]",[14 16],13.820398809846964,-53.33447177744861,55.096000789918335,0.01,2025.4965866418215
68,[ 15.87877602 -57.98982923],"[[20  5]
 [ 5  2]]",[14 16],13.723042636749994,-52.958802282392,54.70792116682507,0.01,1995.6724276801385
69,[ 15.74251228 -57.46397145],"[[20  5]
 [ 5  2]]",[14 16],13.626374223519583,-52.58577836858166,54.32257505962866,0.01,1966.2669338047485
70,[ 15.60720839 -56.94181763],"[[20  5]
 [ 5  2]]",[14 16],13.53038829724477,-52.215381512386,53.939943214265995,0.01,1937.274227885813
71,[ 15.4728576 -56.4233417],"[[20  5]
 [ 5  2]]",[14 16],13.435079713415078,-51.84759329700053,53.56000651229415,0.01,1908.6885152953705
72,[ 15.33945316 -55.90851775],"[[20  5]
 [ 5  2]]",[14 16],13.340443435582074,-51.482395416731265,53.182745969935,0.01,1880.5040827491944
73,[ 15.20698842 -55.39732005],"[[20  5]
 [ 5  2]]",[14 16],13.246474519302254,-51.11976968017575,52.80814273712663,0.01,1852.7152971649023
74,[ 15.07545674 -54.88972307],"[[20  5]
 [ 5  2]]",[14 16],13.153168099450568,-50.75969801253734,52.436178096581294,0.01,1825.316604536105
75,[ 14.94485154 -54.38570145],"[[20  5]
 [ 5  2]]",[14 16],13.060519380187287,-50.40216245725913,52.06683346285032,0.01,1798.302528822352
76,[ 14.81516631 -53.88522999],"[[20  5]
 [ 5  2]]",[14 16],12.968523627012829,-50.04714517712331,51.70009038139534,0.01,1771.667670854663
77,[ 14.68639454 -53.38828371],"[[20  5]
 [ 5  2]]",[14 16],12.877176160466384,-49.69462845493149,51.3359305276662,0.01,1745.4067072564228
78,[ 14.55852982 -52.89483776],"[[20  5]
 [ 5  2]]",[14 16],12.78647235111972,-49.34459469385617,50.9743357061854,0.01,1719.5143893794243
79,[ 14.43156575 -52.4048675 ],"[[20  5]
 [ 5  2]]",[14 16],12.696407615588598,-48.997026417535025,50.61528784963888,0.01,1693.9855422548494
80,[ 14.30549597 -51.91834844],"[[20  5]
 [ 5  2]]",[14 16],12.606977413347622,-48.65190626996376,50.25876901797333,0.01,1668.8150635589693
81,[ 14.1803142  -51.43525626],"[[20  5]
 [ 5  2]]",[14 16],12.518177244176243,-48.30921701523188,49.90476139749975,0.01,1643.997922593373
82,[ 14.05601417 -50.95556685],"[[20  5]
 [ 5  2]]",[14 16],12.430002646102643,-47.96894153713605,49.553247300003406,0.01,1619.5291592795027
83,[ 13.93258968 -50.47925622],"[[20  5]
 [ 5  2]]",[14 16],12.342449193738872,-47.63106283869846,49.20420916185999,0.01,1595.4038831673113
84,[ 13.81003456 -50.00630058],"[[20  5]
 [ 5  2]]",[14 16],12.255512496926016,-47.29556404161144,48.85762954315814,0.01,1571.6172724578296
85,[ 13.68834267 -49.5366763 ],"[[20  5]
 [ 5  2]]",[14 16],12.169188199621416,-46.9624283856255,48.513491126827894,0.01,1548.1645730394587
86,[ 13.56750795 -49.0703599 ],"[[20  5]
 [ 5  2]]",[14 16],12.083471978978373,-46.63163922789407,48.17177671777557,0.01,1525.041097537789
87,[ 13.44752436 -48.6073281 ],"[[20  5]
 [ 5  2]]",[14 16],11.998359544577404,-46.303180042285106,47.832469242024516,0.01,1502.2422243787582
88,[ 13.32838589 -48.14755776],"[[20  5]
 [ 5  2]]",[14 16],11.91384663777621,-45.97703441866827,47.49555174586203,0.01,1479.7633968649598
89,[ 13.2100866 -47.6910259],"[[20  5]
 [ 5  2]]",[14 16],11.829929031154343,-45.65318606218372,47.161007394992254,0.01,1457.6001222649188
90,[ 13.09262058 -47.23770971],"[[20  5]
 [ 5  2]]",[14 16],11.74660252803266,-45.331618792497764,46.828819473695035,0.01,1435.7479709151523
91,[ 12.97598195 -46.78758655],"[[20  5]
 [ 5  2]]",[14 16],11.663862962050985,-45.01231654304945,46.49897138399072,0.01,1414.202575334834
92,[ 12.86016488 -46.34063391],"[[20  5]
 [ 5  2]]",[14 16],11.581706196793277,-44.69526336029101,46.171446644810814,0.01,1392.9596293528875
93,[ 12.7451636  -45.89682948],"[[20  5]
 [ 5  2]]",[14 16],11.500128125449173,-44.38044340292485,45.84622889117449,0.01,1372.0148872473346
94,[ 12.63097236 -45.45615107],"[[20  5]
 [ 5  2]]",[14 16],11.419124670505596,-44.06784094113881,45.523301873370954,0.01,1351.3641628967223
95,[ 12.51758544 -45.01857667],"[[20  5]
 [ 5  2]]",[14 16],11.338691783461393,-43.75744035584131,45.20264945614742,0.01,1331.0033289434646
96,[ 12.40499718 -44.5840844 ],"[[20  5]
 [ 5  2]]",[14 16],11.25882544456119,-43.449226137897554,44.884255617903015,0.01,1310.9283159689273
97,[ 12.29320197 -44.15265258],"[[20  5]
 [ 5  2]]",[14 16],11.179521662543841,-43.14318288736766,44.56810444988815,0.01,1291.1351116800943
98,[ 12.1821942  -43.72425962],"[[20  5]
 [ 5  2]]",[14 16],11.100776474403467,-42.839295312747495,44.25418015540971,0.01,1271.6197601076497
99,[ 12.07196834 -43.29888414],"[[20  5]
 [ 5  2]]",[14 16],11.02258594516018,-42.53754823021271,43.94246704904169,0.01,1252.3783608153185
100,[ 11.96251888 -42.87650487],"[[20  5]
 [ 5  2]]",[14 16],10.94494616763879,-42.237926562866456,43.63294955584152,0.01,1233.4070681203066
101,[ 11.85384035 -42.45710072],"[[20  5]
 [ 5  2]]",[14 16],10.867853262254371,-41.94041533999106,43.325612210571826,0.01,1214.7020903246807
102,[ 11.74592732 -42.04065072],"[[20  5]
 [ 5  2]]",[14 16],10.791303376803029,-41.64499969630397,43.02043965692771,0.01,1196.259688957543
103,[ 11.63877439 -41.62713407],"[[20  5]
 [ 5  2]]",[14 16],10.715292686257634,-41.35166487121804,42.717416646769436,0.01,1178.0761780278406
104,[ 11.53237621 -41.21653011],"[[20  5]
 [ 5  2]]",[14 16],10.639817392566997,-41.06039620810657,42.41652803936059,0.01,1160.1479232876654
105,[ 11.42672748 -40.80881832],"[[20  5]
 [ 5  2]]",[14 16],10.564873724458927,-40.77117915357278,42.11775880061153,0.01,1142.471341505894
106,[ 11.3218229  -40.40397833],"[[20  5]
 [ 5  2]]",[14 16],10.490457937245758,-40.483999256724275,41.82109400232823,0.01,1125.0428997520264
107,[ 11.21765723 -40.00198991],"[[20  5]
 [ 5  2]]",[14 16],10.416566312632824,-40.19884216845208,41.52651882146634,0.01,1107.8591146900749
108,[ 11.11422528 -39.60283297],"[[20  5]
 [ 5  2]]",[14 16],10.343195158528836,-39.915693640714686,41.23401853939057,0.01,1090.9165518823693
109,[ 11.01152188 -39.20648758],"[[20  5]
 [ 5  2]]",[14 16],10.270340808858833,-39.63453952582683,40.943578541139274,0.01,1074.2118251031316
110,[ 10.90954188 -38.81293392],"[[20  5]
 [ 5  2]]",[14 16],10.197999623378387,-39.35536577575324,40.655184314694175,0.01,1057.7415956616871
111,[ 10.8082802  -38.42215233],"[[20  5]
 [ 5  2]]",[14 16],10.12616798749034,-39.078158441407105,40.36882145025529,0.01,1041.5025717351796
112,[ 10.70773178 -38.0341233 ],"[[20  5]
 [ 5  2]]",[14 16],10.054842312062618,-38.80290367195348,40.08447563952092,0.01,1025.491507710648
113,[ 10.60789159 -37.64882742],"[[20  5]
 [ 5  2]]",[14 16],9.984019033247769,-38.52958771411754,39.80213267497272,0.01,1009.7052035363446
114,[ 10.50875464 -37.26624545],"[[20  5]
 [ 5  2]]",[14 16],9.913694612304099,-38.25819691149758,39.52177844916585,0.01,994.1405040821542
115,[ 10.41031598 -36.88635827],"[[20  5]
 [ 5  2]]",[14 16],9.843865535418168,-37.988717703882834,39.24339895402404,0.01,978.7942985089951
116,[ 10.3125707  -36.50914691],"[[20  5]
 [ 5  2]]",[14 16],9.774528313528691,-37.721136626576076,38.96698028013966,0.01,963.6635196470716
117,[ 10.21551391 -36.1345925 ],"[[20  5]
 [ 5  2]]",[14 16],9.705679482151744,-37.45544030972099,38.69250861607882,0.01,948.7451433828537
118,[ 10.11914075 -35.76267635],"[[20  5]
 [ 5  2]]",[14 16],9.637315601207447,-37.19161547763416,38.41997024769115,0.01,934.0361880546614
119,[ 10.02344642 -35.39337986],"[[20  5]
 [ 5  2]]",[14 16],9.569433254847667,-36.929648948141846,38.14935155742465,0.01,919.5337138567368
120,[  9.92842613 -35.02668458],"[[20  5]
 [ 5  2]]",[14 16],9.502029051285263,-36.66952763192138,37.880639023645244,0.01,905.2348222516782
121,[  9.83407513 -34.6625722 ],"[[20  5]
 [ 5  2]]",[14 16],9.435099622624264,-36.41123853184722,37.613819219961165,0.01,891.1366553911247
122,[  9.74038871 -34.30102451],"[[20  5]
 [ 5  2]]",[14 16],9.368641624691776,-36.154768742341496,37.34887881455213,0.01,877.2363955445715
123,[  9.6473622  -33.94202346],"[[20  5]
 [ 5  2]]",[14 16],9.302651736870502,-35.90010544872925,37.08580456950313,0.01,863.5312645362048
124,[  9.55499093 -33.5855511 ],"[[20  5]
 [ 5  2]]",[14 16],9.237126661932884,-35.647235926598185,36.824583340143086,0.01,850.0185231896418
125,[  9.4632703  -33.23158962],"[[20  5]
 [ 5  2]]",[14 16],9.172063125876193,-35.396147541162875,36.565202074388004,0.01,836.6954707804639
126,[  9.37219572 -32.88012134],"[[20  5]
 [ 5  2]]",[14 16],9.107457877759096,-35.14682774663342,36.3076478120888,0.01,823.5594444964379
127,[  9.28176264 -32.5311287 ],"[[20  5]
 [ 5  2]]",[14 16],9.04330768953897,-34.899264085588705,36.05190768438386,0.01,810.6078189053113
128,[  9.19196655 -32.18459426],"[[20  5]
 [ 5  2]]",[14 16],8.97960935591059,-34.65344418835388,35.79796891305587,0.01,797.8380054300824
129,[  9.10280295 -31.8405007 ],"[[20  5]
 [ 5  2]]",[14 16],8.916359694146216,-34.40935577238232,35.545818809893454,0.01,785.2474518316319
130,[  9.0142674  -31.49883084],"[[20  5]
 [ 5  2]]",[14 16],8.853555543936082,-34.166986641641984,35.295444776057195,0.01,772.833641698621
131,[  8.92635546 -31.15956759],"[[20  5]
 [ 5  2]]",[14 16],8.791193767230965,-33.92632468600595,35.04683430145007,0.01,760.5940939445486
132,[  8.83906275 -30.82269401],"[[20  5]
 [ 5  2]]",[14 16],8.72927124808507,-33.687357880647376,34.79997496409242,0.01,748.5263623118689
133,[  8.7523849  -30.48819327],"[[20  5]
 [ 5  2]]",[14 16],8.667784892500443,-33.45007428543868,34.55485442950129,0.01,736.6280348830691
134,[  8.66631758 -30.15604865],"[[20  5]
 [ 5  2]]",[14 16],8.606731628272271,-33.21446204435493,34.31146045007406,0.01,724.8967335986132
135,[  8.5808565  -29.82624355],"[[20  5]
 [ 5  2]]",[14 16],8.546108404835579,-32.980509384881444,34.06978086447658,0.01,713.3301137816495
136,[  8.49599738 -29.49876151],"[[20  5]
 [ 5  2]]",[14 16],8.485912193112519,-32.74820461742559,33.82980359703542,0.01,701.9258636693926
137,[  8.41173598 -29.17358615],"[[20  5]
 [ 5  2]]",[14 16],8.426139985361324,-32.5175361347327,33.591516657134605,0.01,690.6817039510822
138,[  8.32806809 -28.85070122],"[[20  5]
 [ 5  2]]",[14 16],8.366788795025705,-32.28849241130611,33.35490813861642,0.01,679.5953873124292
139,[  8.24498953 -28.5300906 ],"[[20  5]
 [ 5  2]]",[14 16],8.307855656585858,-32.06106200283128,33.11996621918654,0.01,668.6646979864561
140,[  8.16249616 -28.21173827],"[[20  5]
 [ 5  2]]",[14 16],8.249337625410234,-31.835233545603945,32.886679159823295,0.01,657.8874513106421
141,[  8.08058384 -27.89562831],"[[20  5]
 [ 5  2]]",[14 16],8.19123177760838,-31.610995755962378,32.65503530419119,0.01,647.261493290286
142,[  7.99924849 -27.58174494],"[[20  5]
 [ 5  2]]",[14 16],8.13353520988484,-31.388337429723546,32.42502307805841,0.01,636.7847001679984
143,[  7.91848604 -27.27007246],"[[20  5]
 [ 5  2]]",[14 16],8.076245039394049,-31.167247441623317,32.19663098871856,0.01,626.4549779992353
144,[  7.83829245 -26.96059531],"[[20  5]
 [ 5  2]]",[14 16],8.01935840359641,-30.947714744760553,31.96984762441639,0.01,616.2702622337936
145,[  7.75866373 -26.65329803],"[[20  5]
 [ 5  2]]",[14 16],7.962872460115147,-30.729728370045162,31.744661653777612,0.01,606.2285173031789
146,[  7.67959588 -26.34816526],"[[20  5]
 [ 5  2]]",[14 16],7.906784386594374,-30.513277425650017,31.521061825242743,0.01,596.3277362137662
147,[  7.60108497 -26.04518174],"[[20  5]
 [ 5  2]]",[14 16],7.8510913805579925,-30.29835109646674,31.299036966504886,0.01,586.5659401456728
148,[  7.52312706 -25.74433236],"[[20  5]
 [ 5  2]]",[14 16],7.795790659269731,-30.0849386435653,31.078575983951485,0.01,576.9411780572611
149,[  7.44571827 -25.44560206],"[[20  5]
 [ 5  2]]",[14 16],7.740879459594073,-29.87302940365748,30.85966786211008,0.01,567.4515262951936
150,[  7.36885472 -25.14897594],"[[20  5]
 [ 5  2]]",[14 16],7.686355037858135,-29.662612788564033,30.642301663097857,0.01,558.0950882099613
151,[  7.29253257 -24.85443915],"[[20  5]
 [ 5  2]]",[14 16],7.632214669714706,-29.453678284685658,30.426466526075156,0.01,548.8699937768114
152,[  7.21674801 -24.561977  ],"[[20  5]
 [ 5  2]]",[14 16],7.578455650006045,-29.24621545247768,30.212151666702802,0.01,539.7743992219926
153,[  7.14149726 -24.27157486],"[[20  5]
 [ 5  2]]",[14 16],7.525075292628724,-29.04021392592843,29.999346376603253,0.01,530.8064866542511
154,[  7.06677655 -23.98321823],"[[20  5]
 [ 5  2]]",[14 16],7.4720709303993935,-28.835663412041296,29.788040022825548,0.01,521.9644637014969
155,[  6.99258215 -23.69689269],"[[20  5]
 [ 5  2]]",[14 16],7.419439914921572,-28.632553690320446,29.578222047314043,0.01,513.2465631525706
156,[  6.91891036 -23.41258394],"[[20  5]
 [ 5  2]]",[14 16],7.367179616453296,-28.43087461226011,29.36988196638082,0.01,504.6510426040415
157,[  6.84575748 -23.13027778],"[[20  5]
 [ 5  2]]",[14 16],7.315287423775654,-28.23061610083757,29.16300937018194,0.01,496.17618411196
158,[  6.77311988 -22.8499601 ],"[[20  5]
 [ 5  2]]",[14 16],7.263760744062392,-28.0317681500096,28.95759392219724,0.01,487.8202938485025
159,[  6.70099391 -22.57161689],"[[20  5]
 [ 5  2]]",[14 16],7.212597002750403,-27.83432082421253,28.753625358713904,0.01,479.5817017634333
160,[  6.62937597 -22.29523425],"[[20  5]
 [ 5  2]]",[14 16],7.161793643410931,-27.638264257865803,28.551093488313604,0.01,471.45876125032015
161,[  6.55826249 -22.02079836],"[[20  5]
 [ 5  2]]",[14 16],7.111348127622019,-27.443588654879036,28.349988191363302,0.01,463.4498488174358
162,[  6.48764991 -21.74829552],"[[20  5]
 [ 5  2]]",[14 16],7.061257934841578,-27.250284288162558,28.150299419509597,0.01,455.55336376327807
163,[  6.4175347 -21.4777121],"[[20  5]
 [ 5  2]]",[14 16],7.01152056228138,-27.058341499141388,27.95201719517666,0.01,447.767727856646
164,[  6.34791337 -21.2090346 ],"[[20  5]
 [ 5  2]]",[14 16],6.962133524782175,-26.867750697272626,27.755131611067704,0.01,440.09138502120663
165,[  6.27878242 -20.94224957],"[[20  5]
 [ 5  2]]",[14 16],6.913094354689356,-26.678502359566288,27.559632829669955,0.01,432.52280102448947
166,[  6.21013842 -20.6773437 ],"[[20  5]
 [ 5  2]]",[14 16],6.8644006017298125,-26.490587030109428,27.365511082763106,0.01,425.0604631712473
167,[  6.14197792 -20.41430375],"[[20  5]
 [ 5  2]]",[14 16],6.816049832889334,-26.303995319593724,27.17275667093126,0.01,417.70288000112146
168,[  6.07429752 -20.15311657],"[[20  5]
 [ 5  2]]",[14 16],6.768039632291135,-26.11871790484632,26.981359963078276,0.01,410.4485809905507
169,[  6.00709385 -19.89376912],"[[20  5]
 [ 5  2]]",[14 16],6.720367601075232,-25.934745528363955,26.791311395946554,0.01,403.2961162588652
170,[  5.94036353 -19.63624843],"[[20  5]
 [ 5  2]]",[14 16],6.673031357278369,-25.752068997850436,26.60260147363919,0.01,396.244056278506
171,[  5.87410325 -19.38054163],"[[20  5]
 [ 5  2]]",[14 16],6.626028535715228,-25.570679185757342,26.415220767145527,0.01,389.29099158931257
172,[  5.80830968 -19.12663596],"[[20  5]
 [ 5  2]]",[14 16],6.5793567878600605,-25.390567028827956,26.22915991387001,0.01,382.43553251682107
173,[  5.74297954 -18.87451873],"[[20  5]
 [ 5  2]]",[14 16],6.533013781729448,-25.2117235276444,26.04440961716439,0.01,375.67630889451664
174,[  5.67810957 -18.62417733],"[[20  5]
 [ 5  2]]",[14 16],6.486997201765771,-25.034139746177985,25.860960645863205,0.01,369.0119697899856
175,[  5.61369652 -18.37559926],"[[20  5]
 [ 5  2]]",[14 16],6.441304748721532,-24.85780681134271,25.678803833822528,0.01,362.44118323491074
176,[  5.54973718 -18.1287721 ],"[[20  5]
 [ 5  2]]",[14 16],6.395934139544373,-24.682715912551927,25.497930079462005,0.01,355.96263595885785
177,[  5.48622835 -17.88368352],"[[20  5]
 [ 5  2]]",[14 16],6.350883107263087,-24.50885830127811,25.318330345310066,0.01,349.57503312679876
178,[  5.42316686 -17.64032127],"[[20  5]
 [ 5  2]]",[14 16],6.306149400874364,-24.336225290615705,25.13999565755236,0.01,343.27709808031904
