i,x,Q,c,direction x,direction y,||direction||,alpha,"f(x,y)"
75,[0.49088328 0.84339908],"[[20  5]
 [ 5 16]]",[14 16],0.039664513955369074,-0.05858935933003018,0.07075299777408066,0.01,-0.19645865522306494
76,[0.49053667 0.84391106],"[[20  5]
 [ 5 16]]",[14 16],0.034661079130797745,-0.051198287534994336,0.06182762370516418,0.01,-0.1964944706654208
77,[0.49023379 0.84435846],"[[20  5]
 [ 5 16]]",[14 16],0.030288777681386492,-0.04473961548593586,0.05402817086726005,0.01,-0.19652181993541973
78,[0.48996911 0.84474942],"[[20  5]
 [ 5 16]]",[14 16],0.02646800291940643,-0.039095715892255356,0.047212606152061284,0.01,-0.1965427042947958
79,[0.48973781 0.84509106],"[[20  5]
 [ 5 16]]",[14 16],0.02312918813013809,-0.034163801495463275,0.04125681369399168,0.01,-0.1965586519404443
80,[0.4895357 0.8453896],"[[20  5]
 [ 5 16]]",[14 16],0.020211540578884524,-0.029854052662695807,0.03605233463950581,0.01,-0.19657082982903162
81,[0.48935908 0.84565048],"[[20  5]
 [ 5 16]]",[14 16],0.01766193509624081,-0.026087981265609628,0.03150439204077142,0.01,-0.1965801290681597
82,[0.48920474 0.84587845],"[[20  5]
 [ 5 16]]",[14 16],0.015433947140273574,-0.022797001017924146,0.027530164905790036,0.01,-0.19658723012248736
83,[0.48906987 0.84607766],"[[20  5]
 [ 5 16]]",[14 16],0.013487007763114178,-0.01992117821206918,0.024057279974247336,0.01,-0.19659265260617076
84,[0.48895201 0.84625174],"[[20  5]
 [ 5 16]]",[14 16],0.01178566512109569,-0.01740814008629421,0.021022493753374144,0.01,-0.19659679330528945
85,[0.48884902 0.84640386],"[[20  5]
 [ 5 16]]",[14 16],0.010298939101192062,-0.01521212092854185,0.018370540812797095,0.01,-0.19659995521229767
86,[0.48875903 0.84653679],"[[20  5]
 [ 5 16]]",[14 16],0.008999757327380564,-0.013293128535034171,0.016053127365117364,0.01,-0.19660236969729716
87,[0.48868038 0.84665295],"[[20  5]
 [ 5 16]]",[14 16],0.007864462288655005,-0.011616215835799082,0.014028051804635813,0.01,-0.19660421343837342
88,[0.48861166 0.84675446],"[[20  5]
 [ 5 16]]",[14 16],0.006872380622713337,-0.010150844416504157,0.012258436188662866,0.01,-0.19660562134985682
89,[0.4885516  0.84684316],"[[20  5]
 [ 5 16]]",[14 16],0.006005446718997831,-0.008870328341000544,0.010712054666210365,0.01,-0.1966066964545803
90,[0.48849912 0.84692068],"[[20  5]
 [ 5 16]]",[14 16],0.0052478737922481145,-0.007751348142388537,0.009360746624274947,0.01,-0.19660751742250326
